TBS,HR,PVS,PV,WS,W,MU,VEH,TPR,H,TBH
19.7,0.15,2.2956929462084306,0.34435394193126456,0.018873678899305427,0.0027598670416601636,0.1462283562406972,1.0998987180720317,-7.007271699992401,26.818764203392945,7.907246158639898
19.9,0.14,2.3243553773858294,0.32540975283401613,0.019116565086364008,0.002607400018772927,0.13639479723440512,1.0997975052420936,-7.670328269204674,26.6341639519254,7.82014007655137
19.8,0.14,2.309985245427038,0.32339793435978537,0.01899476920532788,0.002591212829888026,0.13641717895478359,1.0997867578242886,-7.74254301674204,26.492030642877324,7.757789090130931
19.8,0.14,2.309985245427038,0.32339793435978537,0.01899225833084002,0.0025908790681363593,0.1364176404408546,1.099786536220888,-7.74254301674204,26.491183976425162,7.757789090130931
20.2,0.13,2.3679363561287845,0.307831726296742,0.019481069481419856,0.002465359664531521,0.12655155646782468,1.0997031862906141,-8.313768387849805,26.576953999721816,7.7842359124617815
20.5,0.13,2.412230795685355,0.31359000343909615,0.019857114974414846,0.0025116627249146192,0.12648678965452953,1.0997339358138094,-8.09982921395111,26.99760627499012,7.968050717302605
20.3,0.13,2.3826214120172926,0.30974078356224805,0.019603098593184445,0.002480390493138396,0.12653053196400144,1.0997131684651626,-8.242489541448435,26.71614185159346,7.845508053115978
20.1,0.1,2.353330572786773,0.2353330572786773,0.01935204922092042,0.0018824909259018278,0.09727605094486697,1.0993158643497458,-11.323704457442133,24.997007517717655,7.018925311293318
19.5,0.14,2.267340420546069,0.3174276588764497,0.01862129763568792,0.002541543737776779,0.13648585547045244,1.0997537780676039,-7.958981627370008,26.062856873890127,7.570733010133608
20.5,0.17,2.412230795685355,0.4100792352665104,0.019849233891860045,0.0032872966003465185,0.16561327345206017,1.1002486066017907,-4.9131615068975165,28.966166989920964,8.83771358030506
20.6,0.17,2.4271558538920623,0.4126164951616506,0.019973347325823308,0.0033073177995059776,0.16558655620182328,1.100261881105407,-4.837911960942591,29.118177814303483,8.903064770799226
20.2,0.18,2.3679363561287845,0.4262285441031812,0.019468194043168012,0.0034165838943913014,0.17549567704202568,1.1003343176399778,-4.440481659915946,28.990648385246047,8.842808069062977
20.3,0.2,2.3826214120172926,0.47652428240345857,0.019590141700983357,0.003821731655826406,0.1950844314533247,1.100602767432878,-3.055886828474577,30.119984851688805,9.299571112837695
20.1,0.2,2.353330572786773,0.4706661145573546,0.019341820414939714,0.0037744639525240896,0.1951452278818945,1.1005714591490767,-3.2108674689813483,29.7974737846923,9.163445365457973
19.8,0.21,2.309985245427038,0.48509690153967794,0.01896969029655439,0.0038899110134469838,0.20505927891471892,1.1006479215878864,-2.831865017919391,29.78648897434049,9.143991905495655
19.9,0.21,2.3243553773858294,0.48811462925102417,0.019088799796057467,0.003913757357456642,0.2050289907836414,1.10066371321233,-2.753771790526258,29.948287358400222,9.212902856446751
19.8,0.22,2.309985245427038,0.5081967539939484,0.018962179532425072,0.00407478237996782,0.21488997997302983,1.1007703282342707,-2.2438730677053087,30.25545937977719,9.325034802945732
19.6,0.2,2.28147812304371,0.45629562460874196,0.018716188707472246,0.003655244876287695,0.19529856924494335,1.1004924799821472,-3.5977960581533566,28.98868268882883,8.823125534644191
19.5,0.21,2.267340420546069,0.47614148831467445,0.01859183847461603,0.003814216456764457,0.20515542139482956,1.100597789855148,-3.0659663624393403,29.290606242104875,8.937257279190556
19.0,0.22,2.1977963700849856,0.48351520141869686,0.018000338690816957,0.0038726551395987883,0.2151434595824833,1.1006364938639455,-2.872954624083434,28.93232321214911,8.767166045894518
18.6,0.28,2.1435135283567264,0.6001837879398835,0.017538597299740416,0.004813089182704926,0.2744283992868782,1.101258725275265,-0.09966697685544545,30.910725889075973,9.45551749917826
18.2,0.28,2.090408912852512,0.5853144955987034,0.017089899104829092,0.004692342407598329,0.27456817496789165,1.1011788992211526,-0.4271360265723416,30.198896501835435,9.158735730651749
18.1,0.33,2.0773143040933797,0.6855137203508154,0.01697546130512495,0.00550130507601024,0.32407396636398783,1.1017133408110495,1.6601269893112587,32.147094382587404,9.81382832081025
18.0,0.36,2.0642916389366532,0.7431449900171951,0.01686172656635707,0.005966697897201721,0.3538604349750649,1.1020204133183134,2.748912896399162,33.22456945558159,10.153480077797889
17.7,0.38,2.0256519609481214,0.7697477451602861,0.016533374263957398,0.006180817756178704,0.373838858148444,1.1021615970994831,3.2280727880315325,33.461893064286215,10.18447250216705
17.1,0.41,1.9502702430360275,0.7996107996447712,0.015900293389790376,0.006422254979585942,0.40390795453558676,1.1023207210162798,3.749870350557316,33.46288581501685,10.088490840896204
16.9,0.44,1.9256956656112412,0.8473060928689461,0.01569077232760335,0.006807765200302383,0.433870625241697,1.1025746408388892,4.55063196849914,34.23528823950888,10.300131925845372
16.4,0.45,1.8654437184351438,0.8394496732958148,0.015185857237577387,0.006743086618828565,0.44403727187312186,1.1025320532776,4.421350662664132,33.562468483780805,10.005057226318641
16.1,0.48,1.8300920719406957,0.8784441945315339,0.014887287962426998,0.007058051145332062,0.4740991887270127,1.1027393898807225,5.053413330064963,34.05389640978441,10.110566756679837
15.9,0.49,1.8068522080524165,0.885357581945684,0.014691851084767974,0.007113314634262916,0.48416735190283583,1.1027757556646263,5.163025565208237,33.98994847363758,10.057469425008465
15.4,0.51,1.7498821414077625,0.8924398921179589,0.01421617056968325,0.007169946499554101,0.5043514682388799,1.1028130177595707,5.274579307775603,33.62373919823291,9.858593813733684
14.9,0.54,1.694495261568516,0.9150274412469988,0.013754456383525541,0.007352612488491229,0.5345622017674105,1.1029331780349083,5.625495945331068,33.576028670288295,9.761653840227204
14.5,0.56,1.651300407471054,0.9247282281837903,0.01339628600585956,0.007431493555077889,0.554742825871838,1.1029850536466863,5.773992622299708,33.367666146320076,9.630440737180686
14.3,0.56,1.630068019800009,0.9128380910880052,0.01321865196982103,0.007333865281227237,0.5548118898939838,1.1029208478631383,5.591800571692602,32.917095132055714,9.453662615052895
14.2,0.57,1.619542062000089,0.9231389753400507,0.013129780488756506,0.007416652810285222,0.564872567110803,1.1029752943494462,5.749754090644608,33.02434490670376,9.47355129600649
13.8,0.58,1.578033051432369,0.9152591698307739,0.012786345065747688,0.007352596758444977,0.5750350644095519,1.1029331676893375,5.629058447817549,32.45479032552699,9.225177772058125
13.5,0.59,1.5475178300779795,0.9130355197460078,0.012534106370231411,0.0073345227516500335,0.5851651912791785,1.1029212802938844,5.5948418762346535,32.103365385027566,9.063301896637022
13.5,0.6,1.5475178300779795,0.9285106980467877,0.012534106370231411,0.007460327777940959,0.5952022072877321,1.1030040142552229,5.831541598078765,32.42106930975932,9.168811903837508
13.3,0.61,1.527463680603767,0.9317528451682978,0.01236844798499421,0.007486691094795116,0.6053056215200326,1.103021349112719,5.880714295007088,32.283743677849785,9.093875211959197
13.0,0.63,1.497810843290361,0.9436208312729274,0.01212523551046551,0.007584193638979756,0.6254883571072661,1.1030854527661764,6.059503322955379,32.22403139482703,9.030768878297266
13.0,0.63,1.497810843290361,0.9436208312729274,0.012126813861153449,0.007585173808085683,0.6254877740297248,1.1030860971214587,6.059503322955379,32.22650579742903,9.030768878297266
12.7,0.64,1.4686654102933232,0.9399458625877268,0.011889426583208447,0.00755722748815375,0.6356259013220112,1.1030677249439396,6.004342142719629,31.85006405219722,8.860875149549205
12.3,0.65,1.4305813307969195,0.9298778650179977,0.011575383182721456,0.007475307244246846,0.6457935021455893,1.1030138639205473,5.8522944584706735,31.23550645164451,8.597472234927539
11.7,0.68,1.3750840440113206,0.9350571499276981,0.01111975178109219,0.0075184186644575365,0.6761318788825583,1.1030422099623107,5.930683049909206,30.732542804373644,8.347568786161434
10.9,0.71,1.304039323251393,0.9258679195084889,0.010536878931358351,0.007444609784732145,0.7065289288440586,1.1029936786606909,5.791353270253936,29.730838046824807,7.900765513629201
9.9,0.76,1.2197920793632866,0.9270419803160979,0.009846648023375086,0.0074551269524791184,0.7571233311865414,1.1030005944126677,5.809218830036812,28.7378918992276,7.444918681154434
8.7,0.81,1.1250542013756863,0.911293903114306,0.009071909041052692,0.007327938765375902,0.8077614901356615,1.102916949855967,5.567994073936035,27.19444913860721,6.7749846473505855
7.8,0.81,1.0583205115910714,0.857239614388768,0.00852752778747686,0.006889351054296485,0.8078954681817482,1.1026283531769365,4.712673390413016,25.174062160288948,5.908537293115552
7.1,0.76,1.0088566543505817,0.7667310573064421,0.008125865982898932,0.006156354999377315,0.7576244811732685,1.1021454701811286,3.174433341996199,22.618540620937182,4.78727033660342
6.3,0.77,0.9548350715472032,0.7352230050913464,0.00768636575552343,0.005901727054551159,0.7678176191798018,1.1019775617383325,2.6034810545732086,21.165130852633276,4.114441273020757
5.7,0.78,0.9160120310104402,0.7144893841881433,0.007372046629846327,0.005735241384428026,0.7779713928027039,1.1018677306887026,2.21662158460866,20.137045733438182,3.628524714531313
5.4,0.8,0.8971287993433683,0.7177030394746947,0.007218311065926466,0.005761276498035354,0.7981474399504696,1.1018849085224787,2.2771867207936864,19.897507683612773,3.512273811701565
5.2,0.83,0.8847318982191277,0.7343274755218759,0.007118344707501974,0.005896753437661457,0.8283882953078837,1.1019742811565678,2.5869594355296,20.034327275357192,3.5771547581845393
5.2,0.85,0.8847318982191277,0.7520221134862585,0.00711926563641293,0.006041003871129813,0.8485431194239855,1.1020694151080799,2.9103620820038856,20.396451544030086,3.7505858784221786
5.1,0.87,0.8785904190979579,0.7643736646152234,0.007069284659015543,0.0061412037132879405,0.8687164274048563,1.102135481397932,3.1323948761914338,20.546283337715813,3.8279485280974725
5.3,0.88,0.8909112914169366,0.7840019364469042,0.007170490934813022,0.006301314664582828,0.878784273192466,1.102241022484427,3.4791924238613987,21.151669502860383,4.111978891361032
