TBS,HR,PVS,PV,WS,W,MU,VEH,TPR,H,TBH
24.2,35.0,3.0211793054643823,1.0574127569125338,0.025380669590785197,0.00865370301332849,0.3409564504346385,1.1127046427136726,7.787416221262949,46.36611363765975,13.765076777517136
25.5,39.0,3.2649191509745443,1.2733184688800723,0.027518902983507492,0.010450329684192027,0.37975095484202526,1.1138906369965078,10.542124042620783,52.27027708970341,15.545581024091465
24.8,41.0,3.131626191172774,1.2839667383808373,0.0263478295156416,0.010539202569979046,0.400002685751491,1.1139491945544149,10.667021553500382,51.77912249136014,15.397998133690068
23.7,42.0,2.9317529094582206,1.2313362219724526,0.02459969313109993,0.010100179480039552,0.4105815233634153,1.1136598258512644,10.04055877539695,49.53481940746579,14.728071488124673
22.6,40.0,2.743109218769014,1.0972436875076057,0.022958398970468332,0.008984381786750099,0.39133311509686797,1.1129232484718066,8.330815371951044,45.57203873488889,13.50452699810608
24.5,38.0,3.075970187841296,1.1688686713796925,0.025860100771483176,0.009579890013320212,0.3704506064370904,1.1133165670319016,9.26562510122552,49.0299516094279,14.582871979804738
17.3,49.0,1.9751194171547715,0.967808514405838,0.016361638635630258,0.007911068644733742,0.48351322388370327,1.1122131777613362,6.495701388477104,37.43641766551387,10.761302312320504
19.9,72.0,2.3243553773858294,1.673535871717797,0.0193446430913734,0.013807897236077284,0.7137840264540634,1.1160957757895886,14.707041234794653,55.048923752200565,16.289587812179256
22.3,59.0,2.693538879903776,1.5891879391432278,0.022528493855773674,0.013097310429869563,0.5813664470300549,1.1156303053374403,13.908393817415615,55.71735977587167,16.494661849216605
22.8,47.0,2.776597260820577,1.305000712585671,0.02324915305007611,0.010714830337781565,0.4608697062943756,1.1140648838528655,10.911079208153055,50.17554880251276,14.911907136976764
23.9,44.0,2.9672422029837824,1.3055865693128643,0.024909401752291827,0.01071972347275517,0.4303484916802101,1.1140681064767897,10.917827193097635,51.31587191611361,15.256443355463038
24.0,48.0,2.9851270679375657,1.4328609926100315,0.025065592185025402,0.011784529634147759,0.4701476648609974,1.11476864752888,12.324205489180796,54.127614438754826,16.06446473539873
21.8,37.0,2.6126601144173955,0.9666842423344363,0.02182829149868426,0.007901761858254528,0.36199635041207057,1.1122070140663185,6.478833992228036,42.00403283485504,12.348175938503815
25.6,42.0,3.2843592045685717,1.3794308659188002,0.02769005127600733,0.011337085126842431,0.40942810158916915,1.114474451352585,11.747756957118964,54.63151393177406,16.21819977262394
25.8,47.0,3.32354232206527,1.5620648913706767,0.028035289798809572,0.012869150448639939,0.459033972575036,1.1154807104413336,13.6436569036882,58.739848739291205,17.344203852878245
27.4,48.0,3.6519581819293796,1.7529399273261022,0.03094341958523736,0.014478289095899606,0.4678955748900804,1.1165343187211583,15.42719712879776,64.49065377266082,18.841682078786544
25.3,38.0,3.226339865453646,1.2260091488723854,0.02717952170784667,0.010055777091260376,0.3699762342895569,1.1136305453612754,9.975842507514402,51.06051064978024,15.19254712264738
21.8,36.0,2.6126601144173955,0.9405576411902623,0.02182829149868426,0.0076855618361814475,0.3520917721226468,1.112063797154843,6.08189488645531,41.45480932498171,12.166616668844105
23.7,60.0,2.9317529094582206,1.7590517456749324,0.02459969313109993,0.014529948503885039,0.5906556812091159,1.1165680881415199,15.481433405517082,60.803170610289925,17.870907402952255
23.5,44.0,2.896634786229731,1.2745193059410815,0.02429351542720915,0.010460350894747299,0.43058201790884193,1.1138972403987122,10.556255030540616,50.24603952184094,14.938120354826886
21.2,44.0,2.5184145499163795,1.108102401963207,0.02101428393235144,0.009074591651512464,0.4318296869274785,1.1129828597078877,8.475936330262037,44.370002044569446,13.11349408196133
23.1,50.0,2.827498978211713,1.4137494891058564,0.02369160075410566,0.011624409915368391,0.49065531856702116,1.114663398209967,12.120221410446922,52.795934781962586,15.678396116552467
24.0,44.0,2.9851270679375657,1.313455909892529,0.025065592185025402,0.010785456342437884,0.4302893090585465,1.1141113951901307,11.008209933389685,51.58565228119156,15.33576695783584
22.3,47.0,2.693538879903776,1.2659632735547746,0.022528493855773674,0.010388956128447202,0.4611473893886025,1.1138501924905246,10.455313915174473,48.83475034485065,14.507766786786396
19.3,55.0,2.239294962483065,1.2316122293656857,0.018615532890113043,0.010102480235621426,0.5426908966429314,1.113661342979911,10.043905141441321,45.03403812201741,13.310712301496938
20.7,55.0,2.4421616455059305,1.343188905028262,0.020357185530670008,0.011033940405820656,0.5420169889986507,1.1142749847677076,11.345457438243464,48.83235158731034,14.494565073089658
22.5,45.0,2.726497936994816,1.2269240716476673,0.022814271622720254,0.010063402740901525,0.44110120661838675,1.1136355741647683,9.986975101835979,48.21227019880958,14.320786123847089
22.7,47.0,2.759808861442984,1.2971101648782024,0.02310335794084275,0.010648935054167906,0.4609258568141918,1.1140214821088825,10.81993381830422,49.90551071091588,14.831558949544005
24.0,44.0,2.9851270679375657,1.313455909892529,0.025065592185025402,0.010785456342437884,0.4302893090585465,1.1141113951901307,11.008209933389685,51.58565228119156,15.33576695783584
